ref,imageLink,title,description,creationYear
https://mubi.com/en/ru/films/ran,https://images.mubicdn.net/images/film/754/cache-47620-1731368974/image-w1280.jpg?size=800x,Ran,"After years of ruthless slaughter, warlord Hidetora Ichimonji divides his medieval kingdom among his three sons, seeking a peaceful retirement. However, his life descends into chaos as he is unable to escape the greed and corruption within his own family and the torment within his soul.",1985
https://mubi.com/en/ru/films/the-fall,https://images.mubicdn.net/images/film/8696/cache-11416-1725527901/image-w1280.jpg?size=800x,The Fall,"In silent-era Hollywood, stuntman Roy Walker is brought to a hospital after an on-set accident. There, he befriends a young girl and tells her a fantastical tale of epic heroes taking revenge on an evil ruler. The story transports her from the hospital into the exotic landscapes of her imagination.",2006
https://mubi.com/en/ru/films/bicycle-thieves,https://images.mubicdn.net/images/film/210/cache-867245-1681744317/image-w1280.jpg?size=800x,Bicycle Thieves,"Unemployed Antonio is elated when he finally finds work hanging posters around war-torn Rome. However on his first day, his bicycle—essential to his work—gets stolen. His job is doomed unless he can find the thief. With the help of his son, Antonio combs the city, becoming desperate for justice.",1948
https://mubi.com/en/ru/films/meeting-the-man-james-baldwin-in-paris,https://images.mubicdn.net/images/film/276485/cache-578452-1691683001/image-w1280.jpg?size=700x,Meeting the Man: James Baldwin in Paris,"Tense, combative, discursive: a meeting with James Baldwin doesn’t quite go according to plan for a group of presumptuous white filmmakers in this rarely seen, Paris-set short film. An illuminating snapshot of Baldwin’s intellectual worldview that bristles with friction and ideas.",1970
https://mubi.com/en/ru/films/modern-times,https://images.mubicdn.net/images/film/2283/cache-35377-1692806682/image-w1280.jpg?size=800x,Modern Times,"Subjected to the infernal production rate of the factory, the Little Tramp suddenly has a nervous breakdown. From hospital, to prison, to unemployment, he gets caught up in the sprockets and cogs of modern industrialization. That is, until he comes across a kind orphaned girl.",1936
https://mubi.com/en/ru/films/three-colors-blue,https://images.mubicdn.net/images/film/414/cache-47752-1674132258/image-w1280.jpg?size=800x,Three Colors: Blue,"The wife of a famous composer survives a car accident that kills her husband and daughter. Now alone, she shakes off her old identity and explores her newfound freedom but finds that she is unbreakably bound to other humans, including her husband’s mistress, whose existence she never suspected.",1993
https://mubi.com/en/ru/films/the-worst-person-in-the-world,https://images.mubicdn.net/images/film/235851/cache-680725-1646757926/image-w1280.jpg?size=800x,The Worst Person in the World,"On the verge of turning thirty, Julie is faced with a series of choices that force her to pursue new perspectives on her life in contemporary Oslo. Over the course of four years, she navigates love affairs and existential uncertainty as she starts deciding who she wants to become.",2021
https://mubi.com/en/ru/films/mulholland-drive,https://images.mubicdn.net/images/film/187/cache-51170-1552467202/image-w1280.jpg?size=800x,Mulholland Drive,"Blonde Betty Elms has only just arrived in Hollywood to become a movie star when she meets an enigmatic brunette with amnesia. Meanwhile, as the two set off to solve the second woman’s identity, filmmaker Adam Kesher runs into ominous trouble while casting his latest project.",2001
https://mubi.com/en/ru/films/love-deutschmark-and-death,https://images.mubicdn.net/images/film/332018/cache-869305-1681731994/image-w1280.jpg?size=800x,"Love, Deutschmarks and Death","The German Federal Republic’s 1961 recruitment agreement with Turkey not only brought workers, but also their music. The stories of the band Derdiyoklar, Radio Yılmaz, protest rocker Cem Karaca’s German exile, and many more are testament to the unique liveliness of Turkish music in Germany.",2022
https://mubi.com/en/ru/films/wings-of-desire,https://images.mubicdn.net/images/film/200/cache-8024-1563228004/image-w1280.jpg?size=800x,Wings of Desire,"Two angels, Damiel and Cassiel, glide through the streets of Berlin, observing the bustling population. When Damiel falls in love with lonely trapeze artist Marion, the angel longs to experience life in the physical world, and finds that it might be possible for him to take human form.",1987
https://mubi.com/en/ru/films/the-girl-with-the-needle,https://images.mubicdn.net/images/film/401325/cache-959994-1713057917/image-w1280.jpg?size=800x,The Girl with the Needle,"Struggling to survive in post-WWI Copenhagen, a newly unemployed and pregnant young woman is taken in by a charismatic elder to help run an underground adoption agency. The two form an unexpected bond, until a sudden discovery changes everything.",2024
https://mubi.com/en/ru/films/fantastic-mr-fox,https://images.mubicdn.net/images/film/3518/cache-47454-1610712134/image-w1280.jpg?size=800x,Fantastic Mr. Fox,"Mr. and Mrs. Fox live a happy home life with their eccentric son Ash and visiting nephew Kristofferson. That is until Mr. Fox slips into his sneaky, old ways and plots the greatest chicken heist the animal world has ever seen.",2009
https://mubi.com/en/ru/films/-8,https://images.mubicdn.net/images/film/150/cache-8001-1544810432/image-w1280.jpg?size=800x,8½,"Struggling to find inspiration for his next project, acclaimed director Guido Anselmi wrestles with his dreams, memories and desires in his search for creativity. Blending visions with reality, his artistic crisis leads him down many a strange and twisted paths, as his life unravels around him.",1963
https://mubi.com/en/ru/films/witches,https://images.mubicdn.net/images/film/411752/cache-965879-1732132188/image-w1280.jpg?size=700x,Witches,"Witches are figures of solace in this intimate documentary, which unravels the social stigmas that women have endured across centuries. Between affecting interviews and vividly illustrative film clips, Elizabeth Sankey concocts a potion that brims with courage, compassion, and healing insight.",2024
https://mubi.com/en/ru/films/taxi-driver,https://images.mubicdn.net/images/film/204/cache-47681-1607625735/image-w1280.jpg?size=800x,Taxi Driver,"Isolated ex-marine Travis Bickle applies for a job as a taxi driver, hoping that the night-time work will alleviate the effects of his insomnia. But as he ferries passengers across New York, and embarks on a mission to save a teenager from prostitution, his sense of place and purpose steadily warps.",1976
https://mubi.com/en/ru/films/blue-2017,https://images.mubicdn.net/images/film/169097/cache-667561-1618781706/image-w1280.jpg?size=800x,Blue,"A thorough look at one of the most important Turkish rock bands, Blue Blues Band and its two members: Yavuz Çetin and Kerim Çaplı. An inquiry of their existential battles with the society, the music industry and their own minds.",2017
https://mubi.com/en/ru/films/crossing-the-bridge-the-sound-of-istanbul,https://images.mubicdn.net/images/film/1357/cache-978729-1719314494/image-w1280.jpg?size=700x,Crossing the Bridge – The Sound of Istanbul,"Transcending cultural borders and genres, Istanbul’s vibrant music scene takes the spotlight in Fatih Akin’s sonically immersive time capsule, now remastered in 4K. Thumping with an infectious energy, this movable feast celebrates the bonding power of art over political and generational divides.",2005
https://mubi.com/en/ru/films/dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb,https://images.mubicdn.net/images/film/315/cache-47590-1543575642/image-w1280.jpg?size=800x,Dr. Strangelove,"This is the saga of two psychotic generals: Joint Chief of Staff “Buck” Turgidson and Air Force Strategic Commander Jack Ripper, who orders a bomber squadron to attack the USSR, triggering a Soviet secret weapon, the “Doomsday Machine”, a diabolical retaliatory missile system.",1964
https://mubi.com/en/ru/films/a-trip-to-the-moon,https://images.mubicdn.net/images/film/11573/cache-11850-1653321375/image-w1280.jpg?size=800x,A Trip to the Moon,"Six scholars, members of the Astronomers’ Club, set off on an expedition to the moon. Traveling in a bullet-shaped rocket, these voyagers arrive to meet the moon’s inhabitants: the Selenites. Having to escape the Selenties’ king, the scholars will try to return to Earth in their rocket.",1902
https://mubi.com/en/ru/films/come-and-see,https://images.mubicdn.net/images/film/406/cache-8129-1591541524/image-w1280.jpg?size=800x,Come and See,"In 1943, a Belorussian boy finds a rifle buried in the sand and unwittingly gets thrust into the Soviet Union’s battle against the German Nazi regime during World War II where he witnesses the horrors of battle.",1985
https://mubi.com/en/ru/films/a-clockwork-orange,https://images.mubicdn.net/images/film/147/cache-47448-1561248194/image-w1280.jpg?size=800x,A Clockwork Orange,"In a dystopic future Britain, Beethoven-loving Alex heads the ‘Droogs’. A gang of proto-punks whose ultra-violent tendencies dictate their macabre nightly adventures in crime. When captured, Alex submits to equally torturous methods of psychological conditioning to earn back his freedom.",1971
https://mubi.com/en/ru/films/laurence-anyways,https://images.mubicdn.net/images/film/95743/cache-58111-1562090404/image-w1280.jpg?size=800x,Laurence Anyways,"In the ’90s, Laurence tells Fred that she identifies as a woman. Over ten years, in spite of the odds, in spite of each other, the couple confront the prejudices of their friends, ignore the council of their families, and brave the bigotry of the society they offend.",2012
https://mubi.com/en/ru/films/citizen-kane,https://images.mubicdn.net/images/film/285/cache-47553-1581026875/image-w1280.jpg?size=800x,Citizen Kane,"When a reporter is assigned to decipher newspaper magnate Charles Foster Kane’s dying words, his investigation gradually reveals a contradictory and compelling portrait of a complex man who rose from obscurity to staggering heights.",1941
https://mubi.com/en/ru/films/tripping-with-nils-frahm,https://images.mubicdn.net/images/film/281799/cache-611256-1605780339/image-w1280.jpg?size=700x,Tripping With Nils Frahm,"Renowned composer Nils Frahm is no stranger to cinema, having scored Sebastian Schipper’s one-shot film Victoria and the Cate Blanchett vehicle Manifesto. For this immersive concert film, his intimate and enthralling shows are captured on handheld cameras, centering us amid a unique experience.",2020
https://mubi.com/en/ru/films/a-separation,https://images.mubicdn.net/images/film/38332/cache-47830-1676042965/image-w1280.jpg?size=800x,A Separation,"When his wife leaves him, Nader hires a young woman to take care of his senile father. But he doesn’t know his new maid is not only pregnant but also working without her unstable husband’s permission. Soon, Nader finds himself entangled in a web of lies, manipulation, and public confrontations.",2011
